# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.982510745525360107e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.122467219829559326e-01 6.084402278065681458e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.122467219829559326e-01 5.964214711729622087e-03
1.000000000000000000e+03 1.124899354181252420e-04 5.665062730031422689e-08 1.191696608060510698e-08 4.595925306993819959e-10 1.020217096083797514e-04 5.665062730031422689e-08 1.191696608060510698e-08 4.595925306993819959e-10 1.000000000000000000e+00
2.000000000000000000e+03 9.152390703093260527e-05 4.266468295099912211e-06 4.846451133744267281e-07 6.132239604994538240e-07 8.207526843762025237e-05 4.266468295099912211e-06 4.846451133744267281e-07 6.132239604994538240e-07 9.840954274353876929e-01
3.000000000000000000e+03 6.219969509402289987e-05 5.473258291033289424e-09 4.632529027048803982e-09 8.437534120275813621e-07 5.726127346861176193e-05 5.473258291033289424e-09 4.632529027048803982e-09 8.437534120275813621e-07 1.000000000000000000e+00
4.000000000000000000e+03 2.815638617903459817e-05 4.333659653354970942e-09 1.203066313237854956e-09 2.242692476173147043e-09 2.571208096924237907e-05 4.333659653354970942e-09 1.203066313237854956e-09 2.242692476173147043e-09 1.000000000000000000e+00
5.000000000000000000e+03 4.693292339652543887e-06 4.443083956306992377e-10 4.341491888215642803e-10 1.501612896526172136e-11 4.453785095392959192e-06 4.443083956306992377e-10 4.341491888215642803e-10 1.501612896526172136e-11 1.000000000000000000e+00
6.000000000000000000e+03 2.752837190200807527e-06 1.464488530444896242e-10 1.269170359086135846e-11 2.238024210399203184e-10 2.451981572448858060e-06 1.464488530444896242e-10 1.269170359086135846e-11 2.238024210399203184e-10 1.000000000000000000e+00
7.000000000000000000e+03 3.012451770700863563e-06 2.009316631301771849e-06 6.111204129410907626e-07 2.727809622626864439e-08 2.432294877507956699e-06 2.009316631301771849e-06 6.111204129410907626e-07 2.727809622626864439e-08 1.000000000000000000e+00
8.000000000000000000e+03 1.162043417934910394e-06 5.360465543668979649e-12 5.178849793452400263e-09 2.913482610722439858e-08 9.094068786907882895e-07 5.360465543668979649e-12 5.178849793452400263e-09 2.913482610722439858e-08 1.000000000000000000e+00
9.000000000000000000e+03 7.942817319417372346e-07 5.798334701268004210e-09 1.391047832477454449e-10 3.018505267959881166e-08 5.783496135336463340e-07 5.798334701268004210e-09 1.391047832477454449e-10 3.018505267959881166e-08 9.940357852882704126e-01
1.000000000000000000e+04 1.337710727966623381e-06 3.685459262214862974e-07 2.196039972091057280e-08 2.184946268357634835e-08 1.084120981431624386e-06 3.685459262214862974e-07 2.196039972091057280e-08 2.184946268357634835e-08 1.000000000000000000e+00
